summary,abstract
"we consider the kinematics of specific fluid spacetimes admitting timelike
congruences of ricci solitons. these fluids includes string cloud, string
fluid, perfect fluid, radially symmetric fluid, anisotropic fluid and
relativistic magneto-fluid. results are obtained and important physical aspects
are discussed.
",kinematic description of ricci solitons in fluid spacetimes
"the euler equations governing a relativistic perfect fluid are put into
symmetric hyperbolic form with dependent variables the fluid's specific entropy
plus a generalized velocity vector equal to the fluid's unit relativistic
velocity vector divided pointwise by the fluid's specific enthalpy.
",symmetric hyperbolic euler equations for relativistic perfect fluids
"experiments on fluid systems in micro-/nano-scale solid conveyors have shown
a violation of the no-slip assumption that have been adopted by the classical
fluid mechanics. to correct this mechanics for the fluid slip, various
approaches have been proposed to determine the slip boundary conditions.
however, these approaches have revealed contradictory results for a variety of
systems, and a debate on the mechanisms and the conditions of the fluid
slip/no-slip past solid surfaces is sustained for a long time. in this paper,
we establish the hybrid continuum-molecular modeling (hcmm) as a general
approach of modeling the fluid slip flow under the influence of excess
fluid-solid molecular interactions. this modeling approach postulates that
fluids flow over solid surfaces with/without slip depending on the difference
between the applied impulse on the fluid and a drag due to the excess
fluid-solid molecular interactions. in the hcmm, the navier-stokes equations
are corrected for the excess fluid-solid interactions. measures of the
fluid-solid interactions are incorporated into the fluid viscosity. we
demonstrate that the correction of the fluid mechanics by the slip boundary
conditions is not an accurate approach, as the fluid-solid interactions would
impact the fluid internally. to show the effectiveness of the proposed hcmm, it
is implemented for water flow in nanotubes. the hcmm is validated by an
extensive comparison with over 90 cases of experiments and molecular dynamics
simulations of different fluid systems. we foresee that the hybrid
continuum-molecular modeling of the fluid slip flow will find many important
implementations in fluid mechanics.
",hybrid continuum-molecular modeling of fluid slip flow
"the dilute fluid phase of model globular proteins is studied. the model
possesses a fluid-fluid transition buried within the fluid-crystal coexistence
region, as do some globular proteins. if this fluid-fluid transition is not
buried deep inside the fluid-crystal coexistence region the crystalline phase
does not nucleate within the dilute fluid. we link this lack of nucleation of
the crystal to the interactions in our model and speculate that similar
interactions between globular proteins are responsible for the difficulty found
in crystallising many globular proteins.
","metastability and nucleation in the dilute fluid phase of a simple model
  of globular proteins"
"to study the possibility of a fluid-fluid phase transition, we analyze a
three-dimensional soft-core isotropic potential for a one-component system. we
utilize two independent numerical approaches, (i) integral equation in the
hypernetted-chain approximation and (ii) molecular dynamics simulations, and
find for both approaches a fluid-fluid phase transition as well as the
conventional gas-liquid critical point. we also study the possible existence of
a triple point in the supercooled fluid phase at which three phases---gas,
high-density fluid, and low-density fluid---coexist.
","supercooled fluid-fluid phase transition in three dimensions from a
  soft-core potential"
"we present a phenomenological fluid dynamics model for a dilatant fluid, i.e.
a severe shear thickening fluid, by introducing a state variable. the
navier-stokes equation is coupled with the state variable field, which evolves
in response to the local shear stress as the fluid is sheared. the viscosity is
assumed to depend upon the state variable and to diverge at a certain value due
to jamming. we demonstrate that the coupling of the fluid dynamics with the
shear thickening leads to an oscillatory instability in the shear flow. the
model also shows a peculiar response of the fluid to a strong external impact.
",fluid dynamics and jamming in a dilatant fluid
"numerous natural processes are contingent on microorganisms' ability to swim
through fluids with non-newtonian rheology. here, we use the model organism
caenorhabditis elegans and tracking methods to experimentally investigate the
dynamics of undulatory swimming in shear-thinning fluids. theory and simulation
have proposed that the cost of swimming, or mechanical power, should be lower
in a shear-thinning fluid compared to a newtonian fluid of the same zero-shear
viscosity. we aim to provide an experimental investigation into the cost of
swimming in a shear-thinning fluid from (i) an estimate of the mechanical power
of the swimmer and (ii) the viscous dissipation rate of the flow field, which
should yield equivalent results for a self-propelled low reynolds number
swimmer. we find the cost of swimming in shear-thinning fluids is less than or
equal to the cost of swimming in newtonian fluids of the same zero-shear
viscosity; furthermore, the cost of swimming in shear-thinning fluids scales
with a fluid's effective viscosity and can be predicted using fluid rheology
and simple swimming kinematics. our results agree reasonably well with previous
theoretical predictions and provide a framework for understanding the cost of
swimming in generalized newtonian fluids.
","the cost of swimming in generalized newtonian fluids: experiments with
  c. elegans"
"in the first part of the paper we provide a new classification of
incompressible fluids characterized by a continuous monotone relation between
the velocity gradient and the cauchy stress. the considered class includes
euler fluids, navier-stokes fluids, classical power-law fluids as well as
stress power-law fluids, and their various generalizations including the fluids
that we refer to as activated fluids, namely fluids that behave as an euler
fluid prior activation and behave as a viscous fluid once activation takes
place. we also present a classification concerning boundary conditions that are
viewed as the constitutive relations on the boundary. in the second part of the
paper, we develop a robust mathematical theory for activated euler fluids
associated with different types of the boundary conditions ranging from no-slip
to freeslip and include navier's slip as well as stick-slip. both steady and
unsteady flows of such fluids in three-dimensional domains are analyzed.
","on the classification of incompressible fluids and a mathematical
  analysis of the equations that govern their motion"
"this fluid dynamics video depicts the mixing that occurs as a two-dimensional
flat plate plunges sinusoidally in a quiescent fluid. finite-time lyapunov
exponents reveal sets that are attracting or repelling. as the flow field
develops, strange faces emerge.
",stirring faces: mixing in a quiescent fluid
"in this fluid dynamics video, we demonstrate the first three circumferential
modes of fast, large amplitude vibrations of compliant cylindrical shells
carrying a fluid.
","fast, large amplitude vibrations of compliant cylindrical shells
  carrying a fluid"
